excerpt_name,entry_id,lead_id,annotator,lang,project_title,created_at,document,source_title,author_title,excerpt,sectors,country_code
a1_159830,159830,39379,annotator1,en,IMMAP/DFS Burkina Faso,2020-09-16 08:04:06.018356,https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Central%20Sahel%20Situation%20Report%207%20September%202020.pdf,ReliefWeb,Unknown,"In Burkina Faso, the results of the updated Cadre Harmonisé (CH) of July 2020, which focused on updating household food security indicators following the occurrence of COVID- 19, outlined that 3.28 million people are projected to be food security phase 3- 5 across the country. A total of 16 provinces are in phase 3 (crisis) and two provinces in the Sahel region (Soum and Oudalan provinces), are in an emergency situation (phase 4) and need rapid assistance. Pockets of populations in phase 5 (catastrophe) are being reported in both phase 4 provinces (over 5,000 people in Soum and about 6,000 in Oudalan).",['Food Security'],BF
a2_190106,190106,43420,annotator2,en,IMMAP/DFS Burkina Faso,2020-11-17 15:07:43.794823,http://documents1.worldbank.org/curated/en/425021598292810539/pdf/COVID-19-Impact-Monitoring-at-the-Household-Level.pdf,worldbank,Unknown,"Given schools closure to reduce risk of contagion, a high pro- portion (87.6%) of students remain intellectually active. They are leveraging mainly on ICT (53.4%). Location and poverty status do matter in the way students engage in learning activities. Those in Ouagadougou are more likely to rely on tutoring by another family member; and those in other urban/rural areas are more likely to do nothing or to rely on radio. The use of TV is more pronounced in urban areas. Non-poor students are more likely to rely on TV, tutoring by another family member, and pri- vate tutor. Despite a need for social distancing, some students (15%) are maintaining a physical relationship with their teacher.",['Education'],BF
a2_193725,193725,43353,annotator2,en,IMMAP/DFS Burkina Faso,2020-11-20 11:04:28.467704,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Burkina%20Faso%20Humanitarian%20Situation%20Report%20No.%207%20-%20August%202020%20%281%29.pdf,ReliefWeb,Unknown,"• two municipalities have a very high global acute malnutrition (GAM) prevalence (>15%): Barsalogho IDP site (16.1 per cent GAM and 4.3 per cent SAM) Centre-Nord region, Gorom-Gorom (18.4 per cent Global Acute Malnutrition (MAG) and 6 per cent Severe Acute Malnutrition (SAM), Sahel region • four municipalities have a high GAM rate (between 10 per cent and 15 per cent) • five municipalities have a moderate prevalence of GAM (<10%) • children aged 6-23 months are more vulnerable to GAM than children 24-59 months, as the rates are higher in that age group • infant mortality rates in all communes and on the site are below the emergency threshold of 2 per cent. However, the results show that the situation is worry some in Barsalogho (1.3 per cent) and in the municipality of Gorgadji (1.7 per cent), where mortality rates have reached 1 per cent. [from a nutrition survey conducted in 11 municipalities in the Centre Nord, Nord, Sahel, and Est regions]",['Nutrition'],BF
a3_293833,293833,52166,annotator3,en,IMMAP/DFS Burkina Faso,2021-03-29 07:15:57.162490,https://allafrica.com/stories/202103050081.html,AllAfrica,Unknown,"[Since the promise to build 40,000 affordable homes through a national housing programme by the government in 2015] Real estate companies need government authorization to build homes that count toward the 40,000 goal, Sankara explained. But complaints of ""so-called land grabbing"" have prompted the ministry of housing and urban planning to suspend the validation of new construction requests while it focuses on reforms for the sector, he said. Those reforms could lead to changes to Burkina Faso's 2009 land tenure law, including stricter enforcement, he added. ""The law was passed for the sake of the people and if this law doesn't fit the people, it must be revised to adapt to the context,"" Sankara told the press conference.",['Protection' 'Shelter'],BF
a1a2_311469,311469,53762,annotator1,en,IMMAP/DFS Burkina Faso,2021-04-20 08:56:14.343163,https://reliefweb.int/sites/reliefweb.int/files/resources/UNHCR%20BKF-%20Operational%20Update%20January-February%202021.pdf,ReliefWeb,Unknown,"With the 2021 Humanitarian Response Plan, the Shelter/CRI Cluster targeted around 93,000 families out of 203, 198 in need. Despite the lack of funds to respond aqueately to these needs, UNHCR continues to strengthen the shelter response and the distribution of core relief items (CRIs) throughout the country to improve the living conditions, the physical safety and the dignity of displaced populations. So far, only 4% and 2% have been respectively reached by shelter and CRI interventions. Since the start of the year, a total of 3,031 emergency shelters were built in the Center-North, the North and the Sahel regions.",['Shelter'],BF
a1_311455,311455,53762,annotator1,en,IMMAP/DFS Burkina Faso,2021-04-20 08:56:11.320334,https://reliefweb.int/sites/reliefweb.int/files/resources/UNHCR%20BKF-%20Operational%20Update%20January-February%202021.pdf,ReliefWeb,Unknown,"(Sahel) UNHCR and CONAREF facilitated the relocation of 1,211 refugees and asylum-seekers from the town of Djibo to Goudoubo refugee camp, while respecting all COVID-19 preventative measures. These returns come in addition to the 5,250 refugees relocated to the site from the city of Dori since last December. UNHCR and its partners supported them with 490 emergency shelters. As part of efforts to mitigate the spread of COVID-19, UNHCR’s health partners distributed 115 hand-washing devices and 100 cartons of soap. In addition, 500 families, including 440 from the refugee and 60 from the host communities, were supported each with 10 goats to rebuild their livestock and foster livelihood opportunities.",['Shelter' 'Health' 'Livelihoods'],BF
a1_220966,220966,45372,annotator1,en,IMMAP/DFS Burkina Faso,2020-12-18 17:12:55.045371,https://reliefweb.int/sites/reliefweb.int/files/resources/WHO%20_%20Acute%20hepatitis%20E%20%E2%80%93%20Burkina%20Faso.pdf,ReliefWeb,Unknown,"There are many internally displaced persons (IDPs) in the region {Centre-Nord}, most of them with host families and some living in camps . In addition, the North-Central region is affected by the closure of health facilities due to insecurity resulting from regular attacks by Unidentified Armed Men (HANI). In the Health District of Barsalogho, three out of four communes are heavily affected by these attacks resulting in displacement of the population. A total of 40% of the country's IDPs are registered in the North-Central region, but only 6 out of 15 health facilities are in operation. Burkina Faso is affected by the COVID-19 epidemic and as of 23 November, 2020, 2 757 cases and 68 deaths have been reported. The context of the COVID-19 pandemic further complicates the response [to febrile jaundice]",['Health' 'Shelter'],BF
a3_311894,311894,53767,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-20 11:10:40.528183,https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Burkina%20Faso%20-%20Annual%20Country%20Report%202020.pdf,ReliefWeb,Unknown,"While this activity was initially affected by resourcing shortfalls, and subsequently by the impact of COVID-19 on school closures, WFP assisted 37,837 schoolchildren, including 3,510 girls benefiting from take-home rations, in 127 schools. This programme, complementary to the school feeding programme under strategic outcome 2, targets schools hosting at least 10 percent of displaced students, with the goal of helping to reduce barriers to education, improving access, and continuing children's basic education by providing nutritious school meals and protecting their parents' livelihoods. Take-home rations provided aimed to improve schoolgirls' access to and retention within the education programme.",['Education' 'Food Security'],BF
a3_300133,300133,52772,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-01 14:22:58.984508,https://reliefweb.int/sites/reliefweb.int/files/resources/Burkina-Faso-Fragility-Brief-2021.pdf,ReliefWeb,Unknown,"On the economic front, performance has remained relatively stable in 2019 despite the COVID-19 pandemic and security crisis. The state has experienced minor GDP growth, led mainly by the services sector which counterbalanced the decline of agricultural, mining, and construction performance. Moreover, fiscal deficit and public debt improved in 2019. Burkina Faso also achieved significant improvements in the infrastructure and environment, notably in the water sanitation sector, ensuring better access to safe drinking water, piped water. In light of these successes, we believe that the country's slight 2020 downturn into fragility does not indicate a trend towards collapse but rather the cause of such temporary shocks. Once these exogenous stressors are controlled, we believe that Burkina Faso will be able to resume its course towards improving the political, environmental and socio-economic shortcomings addressed hereafter",['WASH'],BF
a1_300305,300305,52772,annotator1,en,IMMAP/DFS Burkina Faso,2021-04-01 15:26:33.552389,https://reliefweb.int/sites/reliefweb.int/files/resources/Burkina-Faso-Fragility-Brief-2021.pdf,ReliefWeb,Unknown,"Burkina Faso is a country with limited natural resources and highly vulnerable to climate change. Over the last 20 years, the state has been dependent on and affected by severe rain decrease due to the decline in water resources and soil degradation. The Notre Dame's Global Adaptation Index (ND-GAIN) measured Burkina Faso's levels of vulnerability to climate change as well as the readiness of countries to respond to this process; Burkina Faso is the 25th-most-vulnerable country of those assessed. That said, Burkina Faso was one of the first African countries to commit in signing the United Nations Framework Convention on Climate Change in 1993 and the Kyoto Protocol in 2005. Burkina Faso published its National Adaptation Plan (PNA) in September 2015, which focused on the most vulnerable sector, agriculture, water resources, livestock and forests/biodiversity. Since then, Burkina Faso has been able to sustainably strengthen agriculture's competitiveness in sectors other than cotton by increasing the income derived from agricultural exports and set up reforestation programs.",['Agriculture'],BF
